Players Name,Country,Player ID,Captain,Role,Image ID,Batting Style,Bowling Style
Aaron Johnson,Canada,28040,null,Batter,174146,Right-hand bat,Right-arm offbreak
Aaron Jones,United States of America,14730,null,Batter,174146,Right-hand bat,Right-arm legbreak
Aasif Sheikh,Nepal,12110,null,WK-Batter,174146,Right-hand bat,Right-arm medium
Abbas Afridi,Pakistan,15034,null,Bowler,582350,Right-hand bat,Right-arm fast-medium
Abinash Bohara,Nepal,14556,null,Bowler,174146,Right-hand bat,Right-arm medium
Abrar Ahmed,Pakistan,12555,null,Bowler,616450,Right-hand bat,Right-arm legbreak
Adam Zampa,Australia,8642,null,Bowler,619887,Right-hand bat,Right-arm legbreak
Adil Rashid,England,1742,null,Bowler,617413,Right-hand bat,Right-arm legbreak
Aiden Markram,South Africa,9582,TRUE,Batter,619858,Right-hand bat,Right-arm offbreak
Akeal Hosein,West Indies,8435,null,Bowler,244660,Left-hand bat,Left-arm orthodox
Alei Nao,Papa New Guinea,8475,null,Bowler,174146,Right-hand bat,Right-arm medium
Ali Khan,United States of America,11450,null,Bowler,599389,Right-hand bat,Right-arm fast-medium
Alpesh Ramjani,Uganda,15009,null,Bowling Allrounder,174146,Left-hand bat,Left-arm orthodox
Alzarri Joseph,West Indies,11220,null,Bowler,599386,Right-hand bat,Right-arm fast
Andre Russell,West Indies,7736,null,Bowling Allrounder,170821,Right-hand bat,Right-arm fast
Andrew Balbirnie,Ireland,6710,null,Batter,244616,Right-hand bat,Right-arm offbreak
Andries Gous,United States of America,11959,null,WK-Batter,174146,Right-hand bat,null
Angelo Mathews,Sri Lanka,1629,null,Batting Allrounder,170706,Right-hand bat,Right-arm fast-medium
Anil Sah,Nepal,12112,null,Batting Allrounder,155391,Right-hand bat,Right-arm offbreak
Anrich Nortje,South Africa,11427,null,Bowler,244754,Right-hand bat,Right-arm fast
Aqib Ilyas,Oman,12235,TRUE,Batter,174146,Right-hand bat,Right-arm offbreak
Arshdeep Singh,India,13217,null,Bowler,616527,Left-hand bat,Left-arm fast-medium
Aryan Dutt,Netherlands,19532,null,Bowler,352477,Right-hand bat,Right-arm offbreak
Ashton Agar,Australia,8508,null,Bowling Allrounder,244781,Left-hand bat,Left-arm orthodox
Assad Vala,Papa New Guinea,10120,TRUE,Batting Allrounder,215724,Left-hand bat,Right-arm offbreak
Axar Patel,India,8808,null,Bowling Allrounder,616521,Left-hand bat,Left-arm orthodox
Ayaan Khan,Oman,11033,null,Bowling Allrounder,174146,Left-hand bat,Left-arm orthodox
Azam Khan,Pakistan,14558,null,WK-Batter,174146,Right-hand bat,null
Azmatullah Omarzai,Afghanistan,13214,null,Bowling Allrounder,616549,Right-hand bat,Right-arm fast-medium
Babar Azam,Pakistan,8359,TRUE,Batter,616440,Right-hand bat,Right-arm offbreak
Barry McCarthy,Ireland,10451,null,Bowler,244623,Right-hand bat,Right-arm fast-medium
Bas de Leede,Netherlands,13273,null,Batting Allrounder,352467,Right-hand bat,Right-arm fast-medium
Ben Duckett,England,8502,null,Batter,617403,Left-hand bat,Right-arm offbreak
Ben Shikongo,Namibia,13444,null,Bowler,244633,Right-hand bat,Right-arm fast-medium
Benjamin White,Ireland,11124,null,Bowler,174146,Right-hand bat,Right-arm legbreak
Bernard Scholtz,Namibia,10769,null,Bowler,244629,Right-hand bat,Left-arm orthodox
Bilal Hassan,Uganda,21863,null,Bowler,174146,Right-hand bat,Right-arm fast-medium
Bilal Khan,Oman,10824,null,Bowler,154943,Left-hand bat,Left-arm fast-medium
Bjorn Fortuin,South Africa,10676,null,Bowler,244752,Right-hand bat,Left-arm orthodox
Brad Wheal,Scotland,10389,null,Bowler,244685,Right-hand bat,Right-arm fast-medium
Bradley Currie,Scotland,24701,null,Bowler,174146,Right-hand bat,Left-arm fast-medium
Brandon King,West Indies,9791,null,Batter,244662,Right-hand bat,null
